                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                  1.422,                0.79127,                 1.2839,                 0.8578,                0.84428,                0.90003,                0.45007,                 1.6802,                0.82006,                 1.4584,              0.0013615,              0.0013615,              0.0013615
                    132,                 1.4054,                0.82121,                 1.2746,                0.76119,                0.72019,                 0.7647,                0.35583,                 1.8667,                 1.0036,                 1.6191,              0.0013565,              0.0013565,              0.0013565
                    133,                 1.4424,                0.82494,                 1.2883,                0.82694,                0.82546,                0.86831,                0.44557,                 1.7113,                0.85342,                 1.4653,              0.0013515,              0.0013515,              0.0013515
                    134,                   1.41,                 0.8268,                 1.2781,                0.77478,                0.82027,                0.82299,                0.41371,                 1.7734,                0.88152,                 1.5468,              0.0013466,              0.0013466,              0.0013466
                    135,                 1.4027,                0.80596,                 1.2598,                0.83184,                0.77859,                 0.8565,                 0.4285,                 1.7703,                0.85992,                 1.5137,              0.0013417,              0.0013417,              0.0013417
                    136,                   1.39,                 0.8087,                 1.2673,                0.79147,                0.82725,                0.84718,                0.41275,                 1.7585,                0.86788,                 1.5187,              0.0013367,              0.0013367,              0.0013367
                    137,                 1.4064,                0.80056,                 1.2668,                0.87533,                0.82968,                0.88131,                0.42768,                 1.8232,                0.83648,                 1.5382,              0.0013318,              0.0013318,              0.0013318
                    138,                  1.376,                0.78795,                 1.2531,                0.83053,                0.83455,                 0.8799,                0.44689,                 1.7232,                 0.8212,                 1.4816,              0.0013268,              0.0013268,              0.0013268
                    139,                 1.3712,                 0.7773,                 1.2483,                0.75321,                0.74696,                0.76573,                0.33208,                 1.9635,                0.97802,                 1.7121,              0.0013219,              0.0013219,              0.0013219
                    140,                  1.387,                0.78402,                 1.2584,                0.83302,                0.81752,                0.87261,                 0.4382,                 1.7431,                0.85527,                 1.4841,              0.0013169,              0.0013169,              0.0013169
                    141,                 1.3693,                0.76821,                 1.2394,                0.75374,                0.70003,                 0.7499,                0.33135,                 1.9383,                 1.0489,                 1.7222,               0.001312,               0.001312,               0.001312
                    142,                 1.3905,                0.77968,                 1.2533,                 0.7924,                0.84428,                0.85022,                0.41145,                  1.773,                 0.8993,                 1.5198,               0.001307,               0.001307,               0.001307
                    143,                 1.4052,                0.79299,                 1.2858,                0.81208,                0.83212,                0.86479,                 0.4382,                  1.746,                0.82207,                 1.5078,               0.001302,               0.001302,               0.001302
                    144,                 1.4091,                  0.794,                 1.2685,                 0.8075,                0.83692,                0.86173,                0.44148,                 1.7413,                0.83573,                 1.5002,              0.0012971,              0.0012971,              0.0012971
                    145,                 1.4501,                0.78583,                 1.2741,                0.78936,                0.77501,                0.81208,                0.41598,                 1.7509,                0.87284,                 1.5376,              0.0012922,              0.0012922,              0.0012922
                    146,                 1.3951,                0.76867,                 1.2582,                0.77499,                0.83212,                0.84094,                 0.4211,                 1.7343,                0.86932,                 1.5087,              0.0012872,              0.0012872,              0.0012872
